sentence,label,tokens,tree
"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",0.9027799963951111,"Good|fun|,|good|action|,|good|acting|,|good|dialogue|,|good|pace|,|good|cinematography|.",34|34|33|23|23|24|22|22|26|21|21|28|20|20|30|19|19|32|31|29|27|25|24|25|26|27|28|29|30|31|32|33|35|35|0
You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,0.44444000720977783,You|Should|Pay|Nine|Bucks|for|This|:|Because|you|can|hear|about|suffering|Afghan|refugees|on|the|news|and|still|be|unaffected|.,47|45|42|40|40|39|39|43|38|37|36|32|31|29|28|28|27|26|26|33|34|25|25|46|35|27|30|29|30|31|32|33|34|35|36|37|38|44|41|41|42|43|44|45|46|47|0
Dramas like this make it human .,0.8055599927902222,Dramas|like|this|make|it|human|.,12|11|11|9|8|8|10|9|10|13|12|13|0
"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",0.44444000720977783,"A|thunderous|ride|at|first|,|quiet|cadences|of|pure|finesse|are|few|and|far|between|;|their|shortage|dilutes|the|potency|of|otherwise|respectable|action|.",48|47|47|46|44|43|42|42|41|40|40|38|38|37|36|36|51|34|34|33|31|31|30|28|28|29|53|29|30|32|32|33|35|35|52|37|39|39|50|41|45|43|44|45|46|49|48|49|50|51|52|53|0
"Still , this flick is fun , and host to some truly excellent sequences .",0.8194400072097778,"Still|,|this|flick|is|fun|,|and|host|to|some|truly|excellent|sequences|.",29|28|26|26|24|21|21|22|20|19|18|16|16|17|25|17|18|19|20|23|22|23|24|25|27|27|28|29|0
Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,0.75,Australian|actor\/director|John|Polson|and|award-winning|English|cinematographer|Giles|Nuttgens|make|a|terrific|effort|at|disguising|the|obvious|with|energy|and|innovation|.,42|41|40|40|43|39|38|37|36|36|33|32|31|31|30|28|27|27|26|24|24|25|35|25|26|29|28|29|30|34|32|33|34|35|45|37|38|39|44|41|42|43|44|45|0
You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,0.6111099720001221,You|walk|out|of|The|Good|Girl|with|mixed|emotions|--|disapproval|of|Justine|combined|with|a|tinge|of|understanding|for|her|actions|.,47|41|41|40|39|38|38|37|36|36|44|34|33|33|32|31|29|29|28|27|26|25|25|46|26|27|28|30|30|31|32|35|34|35|45|37|43|39|40|42|42|43|44|45|46|47|0
Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,0.44444000720977783,Post|9\/11|the|philosophical|message|of|``|Personal|Freedom|First|''|might|not|be|as|palatable|as|intended|.,34|34|33|32|32|29|29|28|27|27|31|24|24|23|22|21|20|20|26|21|22|23|25|25|26|37|28|30|30|31|36|33|35|35|36|37|0
Absorbing character study by André Turpin .,0.8194400072097778,Absorbing|character|study|by|André|Turpin|.,12|12|10|9|8|8|11|9|10|11|13|13|0
"If you love reading and\/or poetry , then by all means check it out .",0.7777799963951111,"If|you|love|reading|and\/or|poetry|,|then|by|all|means|check|it|out|.",28|27|26|25|24|24|23|21|20|20|18|16|16|17|19|17|18|19|22|21|22|23|29|25|26|27|28|29|0
You 'll probably love it .,0.8194400072097778,You|'ll|probably|love|it|.,11|8|8|7|7|10|9|9|10|11|0
"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",0.6388900279998779,"``|Frailty|''|has|been|written|so|well|,|that|even|a|simple|``|Goddammit|!|''",33|32|31|28|27|24|23|23|25|21|21|19|19|18|18|29|30|20|20|22|22|26|24|25|26|27|28|29|30|31|32|33|0
near the end takes on a whole other meaning .,0.5555599927902222,near|the|end|takes|on|a|whole|other|meaning|.,18|17|17|15|14|13|12|11|11|16|12|13|14|15|16|19|18|19|0
"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",0.875,"Grenier|is|terrific|,|bringing|an|unforced|,|rapid-fire|delivery|to|Toback|'s|Heidegger|-|and|Nietzsche-referencing|dialogue|.",37|33|33|34|31|30|29|28|27|27|26|21|21|22|23|24|20|20|36|25|22|23|24|25|26|32|28|29|30|31|32|35|34|35|36|37|0
The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,0.5555599927902222,The|Sundance|Film|Festival|has|become|so|buzz-obsessed|that|fans|and|producers|descend|upon|Utah|each|January|to|ferret|out|The|Next|Great|Thing|.,48|47|46|46|44|42|41|41|40|37|37|38|34|33|32|32|35|31|29|29|28|27|26|26|45|27|28|30|30|31|36|33|34|35|36|39|38|39|40|43|42|43|44|45|49|47|48|49|0
"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",0.5138900279998779,"`|Tadpole|'|was|one|of|the|films|so|declared|this|year|,|but|it|'s|really|more|of|The|Next|Pretty|Good|Thing|.",49|43|43|42|41|40|38|38|37|36|35|35|45|46|34|33|31|31|30|29|28|27|26|26|48|27|28|29|30|32|32|33|34|47|36|37|39|39|40|41|42|44|44|45|46|47|48|49|0
The actors are fantastic .,0.9444400072097778,The|actors|are|fantastic|.,8|8|6|6|7|7|9|9|0
They are what makes it worth the trip to the theatre .,0.7222200036048889,They|are|what|makes|it|worth|the|trip|to|the|theatre|.,23|21|20|18|18|17|15|15|14|13|13|22|14|16|16|17|19|19|20|21|22|23|0
"( Taymor ) utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",0.9305599927902222,"(|Taymor|)|utilizes|the|idea|of|making|Kahlo|'s|art|a|living|,|breathing|part|of|the|movie|,|often|catapulting|the|artist|into|her|own|work|.",56|55|55|53|51|51|50|43|41|41|42|40|40|45|39|38|37|36|36|47|48|34|33|33|32|31|30|30|54|31|32|35|34|35|49|37|38|39|46|44|42|43|44|45|46|47|48|49|50|52|52|53|54|57|56|57|0
This is n't a new idea .,0.3333300054073334,This|is|n't|a|new|idea|.,13|10|10|9|8|8|12|9|11|11|12|13|0
It 's been done before but never so vividly or with so much passion .,0.8194400072097778,It|'s|been|done|before|but|never|so|vividly|or|with|so|much|passion|.,29|27|24|23|22|21|20|19|19|25|18|16|16|17|28|17|18|26|20|21|22|23|24|25|26|27|28|29|0
( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,0.7777799963951111,(|``|Take|Care|of|My|Cat|''|)|is|an|honestly|nice|little|film|that|takes|us|on|an|examination|of|young|adult|life|in|urban|South|Korea|through|the|hearts|and|minds|of|the|five|principals|.,76|75|73|72|71|70|69|69|74|67|65|63|63|62|62|61|58|58|57|55|55|54|52|51|51|50|49|48|48|47|45|43|43|44|42|41|40|40|68|41|42|46|44|45|46|47|60|49|50|53|52|53|54|56|56|57|59|59|60|61|66|64|64|65|66|67|68|77|70|71|72|73|74|75|76|77|0
"It 's not life-affirming -- its vulgar and mean , but I liked it .",0.5694400072097778,"It|'s|not|life-affirming|--|its|vulgar|and|mean|,|but|I|liked|it|.",25|20|19|19|21|18|18|23|24|26|27|17|16|16|29|17|28|22|20|21|22|23|24|25|26|27|28|29|0
What `` Empire '' lacks in depth it makes up for with its heart .,0.7361099720001221,What|``|Empire|''|lacks|in|depth|it|makes|up|for|with|its|heart|.,28|27|26|25|24|23|23|22|19|19|18|17|16|16|21|17|18|20|20|21|22|29|24|25|26|27|28|29|0
"Light , silly , photographed with colour and depth , and rather a good time .",0.8611099720001221,"Light|,|silly|,|photographed|with|colour|and|depth|,|and|rather|a|good|time|.",28|28|29|30|26|25|19|19|20|21|22|23|18|17|17|27|18|24|20|21|22|23|24|25|26|27|31|29|30|31|0
But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...,0.6805599927902222,But|tongue-in-cheek|preposterousness|has|always|been|part|of|For|the|most|part|Wilde|'s|droll|whimsy|helps|``|Being|Earnest|''|overcome|its|weaknesses|and|Parker|'s|creative|interference|...,59|57|57|54|54|53|52|51|47|46|45|45|42|42|41|41|40|39|37|37|36|35|34|34|49|32|32|31|31|56|33|33|50|35|36|38|38|39|40|44|43|43|44|48|46|47|48|49|50|51|52|53|55|55|56|58|58|59|0
Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .,0.7361099720001221,Much|of|the|movie|'s|charm|lies|in|the|utter|cuteness|of|Stuart|and|Margolo|.,30|29|27|26|26|28|24|23|21|20|20|19|17|17|18|25|18|19|22|21|22|23|24|25|31|27|28|29|30|31|0
Their computer-animated faces are very expressive .,0.7222200036048889,Their|computer-animated|faces|are|very|expressive|.,12|11|11|9|8|8|10|9|10|13|12|13|0
"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .",0.541670024394989,"The|path|Ice|Age|follows|most|closely|,|though|,|is|the|one|established|by|Warner|Bros.|giant|Chuck|Jones|,|who|died|a|matter|of|weeks|before|the|movie|'s|release|.",63|63|61|61|60|59|59|58|57|56|54|52|52|51|50|47|46|45|44|44|48|43|41|39|39|38|38|37|35|34|34|36|55|35|36|37|42|40|40|41|42|43|49|45|46|47|48|49|50|51|53|53|54|55|56|57|58|65|60|62|62|64|64|65|0
"... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )",0.6805599927902222,"...|spiced|with|humor|(|'|I|speak|fluent|flatula|,|'|advises|Denlopp|after|a|rather|,|er|,|bubbly|exchange|with|an|alien|deckhand|)|and|witty|updatings|(|Silver|'s|parrot|has|been|replaced|with|Morph|,|a|cute|alien|creature|who|mimics|everyone|and|everything|around|)",99|98|97|96|95|93|92|88|87|87|89|90|85|85|84|82|80|79|78|77|77|81|76|75|74|74|94|100|72|72|71|67|67|68|66|65|64|63|61|61|59|57|57|58|56|54|52|52|53|55|70|53|54|55|56|60|58|59|60|62|62|63|64|65|66|69|68|69|70|71|73|73|101|75|76|83|78|79|80|81|82|83|84|86|86|91|88|89|90|91|92|93|94|95|96|97|98|99|100|101|0
There 's an energy to Y Tu Mamá También .,0.7638900279998779,There|'s|an|energy|to|Y|Tu|Mamá|También|.,19|17|15|15|14|13|12|11|11|18|12|13|14|16|16|17|18|19|0
"Much of it comes from the brave , uninhibited performances by its lead actors .",0.833329975605011,"Much|of|it|comes|from|the|brave|,|uninhibited|performances|by|its|lead|actors|.",28|27|27|24|23|22|20|19|19|21|18|17|16|16|26|17|18|25|20|21|22|23|24|25|26|29|28|29|0
"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",0.4027799963951111,"``|13|Conversations|''|holds|its|goodwill|close|,|but|is|relatively|slow|to|come|to|the|point|.",37|35|35|34|29|28|27|27|30|31|26|25|24|23|22|21|20|20|33|21|22|23|24|25|26|32|28|29|30|31|32|33|34|36|36|37|0
`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,0.6527799963951111,``|Auto|Focus|''|works|as|an|unusual|biopic|and|document|of|male|swingers|in|the|Playboy|era,34|33|32|32|31|30|28|27|25|25|26|24|22|22|21|20|19|19|20|21|23|23|24|29|26|27|28|29|30|31|35|33|34|35|0
"If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .",0.5277799963951111,"If|Mr.|Zhang|'s|subject|matter|is|,|to|some|degree|at|least|,|quintessentially|American|,|his|approach|to|storytelling|might|be|called|Iranian|.",50|47|46|46|45|45|40|40|39|38|38|37|37|43|36|36|35|32|32|31|31|29|28|27|27|30|28|29|30|34|33|33|34|35|51|44|42|39|41|41|42|43|44|49|48|47|48|49|50|51|0
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',0.16666999459266663,...|a|sour|little|movie|at|its|core|;|an|exploration|of|the|emptiness|that|underlay|the|relentless|gaiety|of|the|1920|'s|...|The|film|'s|ending|has|a|``|What|was|it|all|for|?|'',69|67|66|65|65|64|61|61|62|58|58|57|56|56|55|54|53|52|52|51|50|50|71|72|47|46|46|48|45|43|43|42|40|40|39|39|74|75|41|41|42|44|44|45|49|47|48|49|73|51|70|53|54|55|60|57|59|59|60|63|62|63|64|68|66|67|68|69|70|71|72|73|74|75|0
"feeling to it , but like the 1920 's , the trip there is a great deal of fun .",0.7777799963951111,"feeling|to|it|,|but|like|the|1920|'s|,|the|trip|there|is|a|great|deal|of|fun|.",38|36|36|34|34|33|32|31|31|30|28|28|27|25|23|22|22|21|21|26|24|23|24|25|26|27|29|29|30|39|32|33|35|35|37|37|38|39|0
`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',0.6111099720001221,``|Cremaster|3|''|should|come|with|the|warning|``|For|serious|film|buffs|only|!|'',33|31|31|30|27|23|22|21|21|24|20|19|18|18|26|28|29|19|20|25|22|23|24|25|26|27|28|29|30|32|32|33|0
Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,0.375,Made|me|unintentionally|famous|--|as|the|queasy-stomached|critic|who|staggered|from|the|theater|and|blacked|out|in|the|lobby|.,37|37|36|36|39|35|33|32|32|31|28|27|26|26|29|24|24|23|22|22|41|23|25|25|30|27|28|29|30|31|34|33|34|35|40|38|38|39|40|41|0
"But believe it or not , it 's one of the most beautiful , evocative works I 've seen .",0.9444400072097778,"But|believe|it|or|not|,|it|'s|one|of|the|most|beautiful|,|evocative|works|I|'ve|seen|.",38|35|35|36|37|34|33|31|30|29|27|25|24|23|23|26|22|21|21|32|22|28|24|25|26|27|28|29|30|31|32|33|34|39|36|37|38|39|0
"García Bernal and Talancón are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .",0.75,"García|Bernal|and|Talancón|are|an|immensely|appealing|couple|,|and|even|though|their|story|is|predictable|,|you|'ll|want|things|to|work|out|.",46|44|44|45|43|42|40|40|41|48|49|38|37|35|35|34|34|33|32|31|30|29|28|27|27|51|28|29|30|31|32|33|39|36|36|37|38|39|50|41|42|43|47|45|46|47|48|49|50|51|0
"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",0.8611099720001221,"...|a|spoof|comedy|that|carries|its|share|of|laughs|--|sometimes|a|chuckle|,|sometimes|a|guffaw|and|,|to|my|great|pleasure|,|the|occasional|belly|laugh|.",59|56|55|55|54|53|51|51|50|43|43|42|41|41|45|40|39|39|47|38|36|35|34|34|37|33|32|31|31|58|32|33|49|35|36|37|38|48|40|46|42|44|44|45|46|47|48|49|50|52|52|53|54|57|56|57|58|59|0
"( City ) reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' ( 1999 ) and ` Analyze That , ' promised ( or threatened ) for later this year .",0.6388900279998779,"(|City|)|reminds|us|how|realistically|nuanced|a|Robert|De|Niro|performance|can|be|when|he|is|not|more|lucratively|engaged|in|the|shameless|self-caricature|of|`|Analyze|This|'|(|1999|)|and|`|Analyze|That|,|'|promised|(|or|threatened|)|for|later|this|year|.",98|97|97|94|94|93|92|91|89|88|87|86|86|85|84|83|82|79|79|80|78|77|76|72|71|71|70|69|67|67|66|65|64|64|74|63|59|59|60|61|56|53|53|54|55|57|52|51|51|96|52|58|54|55|56|57|58|62|60|61|62|63|75|65|66|68|68|69|70|73|72|73|74|75|76|77|78|81|80|81|82|83|84|85|90|87|88|89|90|91|92|93|95|95|96|99|98|99|0
The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,0.8888900279998779,The|wanton|slipperiness|of|\*|Corpus|and|its|amiable|jerking|and|reshaping|of|physical|time|and|space|would|make|it|a|great|piece|to|watch|with|kids|and|use|to|introduce|video|as|art|.,67|66|66|65|60|60|61|59|58|58|63|57|56|55|53|53|54|51|49|49|48|47|46|45|42|41|41|43|40|39|37|37|36|36|52|38|38|39|40|44|42|43|44|45|46|47|48|50|50|51|52|69|54|55|56|57|64|59|62|61|62|63|64|65|68|67|68|69|0
"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .",0.8055599927902222,"``|Frailty|''|starts|out|like|a|typical|Bible|killer|story|,|but|it|turns|out|to|be|significantly|different|(|and|better|)|than|most|films|with|this|theme|.",57|56|55|53|53|52|51|50|49|48|48|58|59|47|45|45|44|42|40|39|36|36|37|38|35|34|34|33|32|32|61|33|43|35|41|37|38|39|40|41|42|43|44|46|46|47|60|49|50|51|52|54|54|55|56|57|58|59|60|61|0
"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",0.833329975605011,"For|those|who|pride|themselves|on|sophisticated|,|discerning|taste|,|this|might|not|seem|like|the|proper|cup|of|tea|,|however|it|is|almost|guaranteed|that|even|the|stuffiest|cinema|goers|will|laugh|their|\*\*\*|off|for|an|hour-and-a-half|.",82|81|80|78|78|77|76|75|74|74|73|68|66|66|65|64|62|61|61|60|60|69|70|59|58|56|56|55|53|52|51|50|50|49|46|45|45|47|44|43|43|72|44|48|46|47|48|49|54|51|52|53|54|55|57|57|58|59|71|63|62|63|64|65|67|67|68|69|70|71|72|73|83|75|76|77|79|79|80|81|82|83|0
"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",0.8194400072097778,"It|cuts|to|the|core|of|what|it|actually|means|to|face|your|fears|,|to|be|a|girl|in|a|world|of|boys|,|to|be|a|boy|truly|in|love|with|a|girl|,|and|to|ride|the|big|metaphorical|wave|that|is|life|--|wherever|it|takes|you|.",103|101|94|92|92|91|90|89|88|87|86|85|84|84|83|82|81|79|79|78|76|76|75|75|96|74|72|71|71|70|69|68|67|66|66|98|99|65|64|62|61|60|60|59|56|56|57|55|54|53|53|102|54|55|58|57|58|59|63|61|62|63|64|65|100|67|68|69|70|73|72|73|74|97|77|77|78|80|80|81|82|83|95|85|86|87|88|89|90|91|93|93|94|95|96|97|98|99|100|101|102|103|0
"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",0.666670024394989,"A|welcome|relief|from|baseball|movies|that|try|too|hard|to|be|mythic|,|this|one|is|a|sweet|and|modest|and|ultimately|winning|story|.",49|48|48|47|45|45|44|43|42|41|40|39|39|38|36|36|34|31|29|29|30|32|28|27|27|35|28|33|30|31|32|33|34|35|37|37|38|51|40|41|42|43|44|46|46|47|50|49|50|51|0
A crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .,0.7777799963951111,A|crisp|psychological|drama|(|and|)|a|fascinating|little|thriller|that|would|have|been|perfect|for|an|old|``|Twilight|Zone|''|episode|.,46|45|44|44|43|42|42|40|39|38|38|37|36|35|33|33|32|31|30|29|28|27|26|26|49|27|28|29|30|31|32|34|34|35|36|37|41|39|40|41|48|43|47|45|46|47|48|49|0
It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,0.6527799963951111,It|has|more|than|a|few|moments|that|are|insightful|enough|to|be|fondly|remembered|in|the|endlessly|challenging|maze|of|moviegoing|.,45|43|40|38|38|39|41|37|36|34|34|33|32|31|30|29|27|25|25|26|24|24|44|28|26|27|28|29|30|31|32|33|35|35|36|37|42|39|40|41|42|43|44|45|0
"Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .",0.4583300054073334,"Opening|with|some|contrived|banter|,|cliches|and|some|loose|ends|,|the|screenplay|only|comes|into|its|own|in|the|second|half|.",46|45|40|39|39|41|42|43|38|37|37|36|34|34|33|30|29|28|28|27|26|25|25|32|26|27|31|29|30|31|32|33|35|35|36|47|38|44|40|41|42|43|44|45|46|47|0
"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",0.75,"An|uncluttered|,|resonant|gem|that|relays|its|universal|points|without|lectures|or|confrontations|.|'",28|27|26|25|25|24|22|21|20|20|19|17|17|18|30|31|18|19|23|21|22|23|24|29|26|27|28|29|30|31|0
( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',0.7777799963951111,(|The|Cockettes|)|provides|a|window|into|a|subculture|hell-bent|on|expressing|itself|in|every|way|imaginable|.|',39|37|37|36|32|31|31|30|28|27|27|26|24|24|23|22|21|21|34|35|22|23|25|25|26|29|28|29|30|33|32|33|34|35|36|38|38|39|0
"A smart , steamy mix of road movie , coming-of-age story and political satire .",0.666670024394989,"A|smart|,|steamy|mix|of|road|movie|,|coming-of-age|story|and|political|satire|.",27|26|25|24|24|23|18|18|19|17|17|21|16|16|29|22|20|19|20|21|22|23|28|25|26|27|28|29|0
The modern-day royals have nothing on these guys when it comes to scandals .,0.38888999819755554,The|modern-day|royals|have|nothing|on|these|guys|when|it|comes|to|scandals|.,26|25|25|23|22|21|19|19|18|17|16|15|15|24|16|17|18|20|20|21|22|23|24|27|26|27|0
It 's only in fairy tales that princesses that are married for political reason live happily ever after .,0.36111000180244446,It|'s|only|in|fairy|tales|that|princesses|that|are|married|for|political|reason|live|happily|ever|after|.,37|33|33|32|31|31|30|28|27|26|25|24|23|23|20|20|21|22|36|21|22|29|24|25|26|27|28|29|30|35|32|34|34|35|36|37|0
"A terrific B movie -- in fact , the best in recent memory .",1.0,"A|terrific|B|movie|--|in|fact|,|the|best|in|recent|memory|.",24|23|22|22|25|21|19|19|17|17|16|15|15|27|16|18|18|20|20|21|26|23|24|25|26|27|0
`` Birthday Girl '' is an actor 's movie first and foremost .,0.708329975605011,``|Birthday|Girl|''|is|an|actor|'s|movie|first|and|foremost|.,25|23|23|22|19|17|16|16|18|14|14|15|21|15|20|17|18|19|20|21|22|24|24|25|0
I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,0.875,I|walked|away|from|this|new|version|of|E.T.|just|as|I|hoped|I|would|--|with|moist|eyes|.,39|35|35|34|32|31|31|30|30|29|28|27|26|25|23|23|22|21|21|38|22|24|24|25|26|27|28|29|37|33|32|33|34|36|36|37|38|39|0
"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",0.9027799963951111,"For|devotees|of|French|cinema|,|Safe|Conduct|is|so|rich|with|period|minutiae|it|'s|like|dying|and|going|to|celluloid|heaven|.",46|45|44|43|43|42|40|40|37|36|35|34|33|33|32|31|30|27|27|28|26|25|25|39|26|29|28|29|30|31|32|38|34|35|36|37|38|39|41|41|42|47|44|45|46|47|0
What 's really so appealing about the characters is their resemblance to everyday children .,0.708329975605011,What|'s|really|so|appealing|about|the|characters|is|their|resemblance|to|everyday|children|.,28|26|26|25|24|23|22|22|20|18|18|17|16|16|21|17|19|19|20|21|29|23|24|25|27|27|28|29|0
"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail",0.541670024394989,"Shamelessly|resorting|to|pee-related|sight|gags|that|might|even|cause|Tom|Green|a|grimace|;|still|,|Myer|'s|energy|and|the|silliness|of|it|all|eventually|prevail",55|54|53|47|46|46|45|43|43|40|38|38|37|37|41|42|49|35|35|36|51|32|32|31|31|30|29|29|30|34|33|33|34|52|36|50|39|39|40|41|42|44|44|45|48|47|48|49|50|51|52|53|54|55|0
An absurdist spider web .,0.36111000180244446,An|absurdist|spider|web|.,9|8|7|6|6|7|8|9|0
